feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
0.22999999999999998,False,False,False,False,True,False,False,False,False,False,False,False
17.4,False,False,False,False,True,False,False,False,False,False,False,False
17.6,False,False,False,False,True,False,False,False,False,False,False,False
5.17,False,False,False,False,True,False,False,False,False,False,False,False
3.65,False,False,False,False,True,False,False,False,False,False,False,False
0.18,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
16.53,False,False,False,False,True,False,False,False,False,False,False,False
17.6,False,False,False,False,True,False,False,False,False,False,False,False
6.2,False,False,False,False,True,False,False,False,False,False,False,False
3.65,False,False,False,False,True,False,False,False,False,False,False,False
0.61,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.0,False,False,False,False,True,False,False,False,False,False,False,False
0.05,False,False,False,False,True,False,False,False,False,False,False,False
